pipeline,model,n_features,fit_time_s,accuracy,f1_macro,f1_weighted,tag,cleaner,stage,vectorizer_owner,max_features,default_max_features,min_df,default_min_df,ngram_lo,ngram_hi,default_ngram,cleaner_label,keep_hashtags,keep_punct,keep_digits,drop_hashtags,drop_punct,drop_digits,remove_stopwords,lemmatize,expand_contractions,keep_question_mark,keep_hashtag_word,sublinear_tf,default_sublinear_tf
B,LinearSVC_C19,100000,38.75,0.985,0.985114,0.985029,ablation_max_features,,max_features,,100000.0,70000.0,,,,,,,,,,,,,,,,,,,
B,LinearSVC_C19,150000,38.81,0.985,0.98479,0.985005,ablation_max_features,,max_features,,150000.0,70000.0,,,,,,,,,,,,,,,,,,,
B,LinearSVC_C19,168350,34.19,0.986,0.985708,0.986015,ablation_max_features,,max_features,,200000.0,70000.0,,,,,,,,,,,,,,,,,,,
C,Voting_svc_lr,10000,11.65,0.896,0.892616,0.896601,ablation_max_features,,max_features,,10000.0,100000.0,,,,,,,,,,,,,,,,,,,
C,Voting_svc_lr,25000,13.22,0.954,0.951858,0.95412,ablation_max_features,,max_features,,25000.0,100000.0,,,,,,,,,,,,,,,,,,,
C,Voting_svc_lr,50000,13.74,0.97,0.968232,0.970023,ablation_max_features,,max_features,,50000.0,100000.0,,,,,,,,,,,,,,,,,,,
C,Voting_svc_lr,70000,17.72,0.974,0.972965,0.974028,ablation_max_features,,max_features,,70000.0,100000.0,,,,,,,,,,,,,,,,,,,
C,Voting_svc_lr,100000,18.45,0.978,0.977347,0.978008,ablation_max_features,,max_features,,100000.0,100000.0,,,,,,,,,,,,,,,,,,,
C,Voting_svc_lr,150000,26.36,0.979,0.978262,0.979001,ablation_max_features,,max_features,,150000.0,100000.0,,,,,,,,,,,,,,,,,,,
C,Voting_svc_lr,200000,30.24,0.982,0.981488,0.981997,ablation_max_features,,max_features,,200000.0,100000.0,,,,,,,,,,,,,,,,,,,
A,LinearSVC_C19,70000,13.36,0.981,0.980677,0.981016,ablation_min_df,,min_df,,,,1.0,2.0,,,,,,,,,,,,,,,,,
A,LinearSVC_C19,70000,14.73,0.981,0.980677,0.981016,ablation_min_df,,min_df,,,,2.0,2.0,,,,,,,,,,,,,,,,,
A,LinearSVC_C19,70000,12.68,0.981,0.980677,0.981016,ablation_min_df,,min_df,,,,3.0,2.0,,,,,,,,,,,,,,,,,
A,LinearSVC_C19,70000,13.54,0.981,0.980677,0.981016,ablation_min_df,,min_df,,,,5.0,2.0,,,,,,,,,,,,,,,,,
B,LinearSVC_C19,70000,14.18,0.986,0.986253,0.986009,ablation_min_df,,min_df,,,,1.0,2.0,,,,,,,,,,,,,,,,,
B,LinearSVC_C19,70000,15.0,0.983,0.983279,0.983023,ablation_min_df,,min_df,,,,2.0,2.0,,,,,,,,,,,,,,,,,
B,LinearSVC_C19,70000,14.95,0.983,0.983594,0.983034,ablation_min_df,,min_df,,,,3.0,2.0,,,,,,,,,,,,,,,,,
B,LinearSVC_C19,70000,15.96,0.986,0.985982,0.986004,ablation_min_df,,min_df,,,,5.0,2.0,,,,,,,,,,,,,,,,,
C,Voting_svc_lr,100000,18.55,0.978,0.977371,0.978006,ablation_min_df,,min_df,,,,1.0,2.0,,,,,,,,,,,,,,,,,
C,Voting_svc_lr,100000,18.52,0.978,0.977347,0.978008,ablation_min_df,,min_df,,,,2.0,2.0,,,,,,,,,,,,,,,,,
C,Voting_svc_lr,100000,19.33,0.978,0.977381,0.977997,ablation_min_df,,min_df,,,,3.0,2.0,,,,,,,,,,,,,,,,,
C,Voting_svc_lr,76679,15.49,0.972,0.970675,0.972052,ablation_min_df,,min_df,,,,5.0,2.0,,,,,,,,,,,,,,,,,
C,LinearSVC_C0.5,100000,5.82,0.978,0.978239,0.978048,ablation_model,,model_c,,,,,,,,,,,,,,,,,,,,,,
C,LinearSVC_C0.5_noweight,100000,5.77,0.978,0.977932,0.978022,ablation_model,,model_c,,,,,,,,,,,,,,,,,,,,,,
C,LinearSVC_C19,100000,22.35,0.975,0.974058,0.975018,ablation_model,,model_c,,,,,,,,,,,,,,,,,,,,,,
C,LogReg_C10_balanced,100000,18.0,0.978,0.977334,0.978015,ablation_model,,model_c,,,,,,,,,,,,,,,,,,,,,,
C,LogReg_C10,100000,19.44,0.975,0.974647,0.975028,ablation_model,,model_c,,,,,,,,,,,,,,,,,,,,,,
C,Voting_hard,100000,19.04,0.978,0.977347,0.978008,ablation_model,,model_c,,,,,,,,,,,,,,,,,,,,,,
C,Voting_soft,100000,20.71,0.976,0.975841,0.976017,ablation_model,,model_c,,,,,,,,,,,,,,,,,,,,,,
C,Voting_hard_noweight,100000,20.18,0.978,0.977936,0.978012,ablation_model,,model_c,,,,,,,,,,,,,,,,,,,,,,
A,LinearSVC_C19,25786,11.54,0.956,0.95496,0.956029,ablation_ngram,,ngrams,,,,,,1.0,1.0,"(1, 2)",,,,,,,,,,,,,,
A,LinearSVC_C19,70000,16.07,0.981,0.980677,0.981016,ablation_ngram,,ngrams,,,,,,1.0,2.0,"(1, 2)",,,,,,,,,,,,,,
A,LinearSVC_C19,70000,19.88,0.981,0.980706,0.981027,ablation_ngram,,ngrams,,,,,,1.0,3.0,"(1, 2)",,,,,,,,,,,,,,
A,LinearSVC_C19,70000,20.35,0.98,0.979547,0.980037,ablation_ngram,,ngrams,,,,,,1.0,4.0,"(1, 2)",,,,,,,,,,,,,,
A,LinearSVC_C19,70000,21.29,0.98,0.979547,0.980037,ablation_ngram,,ngrams,,,,,,1.0,5.0,"(1, 2)",,,,,,,,,,,,,,
A,LinearSVC_C19,70000,8.58,0.955,0.955919,0.955183,ablation_ngram,,ngrams,,,,,,2.0,2.0,"(1, 2)",,,,,,,,,,,,,,
A,LinearSVC_C19,70000,13.37,0.943,0.9434,0.943494,ablation_ngram,,ngrams,,,,,,2.0,3.0,"(1, 2)",,,,,,,,,,,,,,
B,LinearSVC_C19,26353,12.96,0.953,0.952422,0.952969,ablation_ngram,,ngrams,,,,,,1.0,1.0,"(1, 2)",,,,,,,,,,,,,,
B,LinearSVC_C19,70000,17.99,0.983,0.983279,0.983023,ablation_ngram,,ngrams,,,,,,1.0,2.0,"(1, 2)",,,,,,,,,,,,,,
B,LinearSVC_C19,70000,19.06,0.979,0.978667,0.979021,ablation_ngram,,ngrams,,,,,,1.0,3.0,"(1, 2)",,,,,,,,,,,,,,
B,LinearSVC_C19,70000,22.64,0.979,0.978379,0.979031,ablation_ngram,,ngrams,,,,,,1.0,4.0,"(1, 2)",,,,,,,,,,,,,,
B,LinearSVC_C19,70000,24.04,0.978,0.977211,0.978029,ablation_ngram,,ngrams,,,,,,1.0,5.0,"(1, 2)",,,,,,,,,,,,,,
B,LinearSVC_C19,70000,8.78,0.954,0.955135,0.954386,ablation_ngram,,ngrams,,,,,,2.0,2.0,"(1, 2)",,,,,,,,,,,,,,
B,LinearSVC_C19,70000,12.13,0.945,0.9453,0.945322,ablation_ngram,,ngrams,,,,,,2.0,3.0,"(1, 2)",,,,,,,,,,,,,,
C,Voting_svc_lr,23652,10.19,0.932,0.929782,0.932212,ablation_ngram,,ngrams,,,,,,1.0,1.0,"(1, 4)",,,,,,,,,,,,,,
C,Voting_svc_lr,100000,15.31,0.981,0.980602,0.981001,ablation_ngram,,ngrams,,,,,,1.0,2.0,"(1, 4)",,,,,,,,,,,,,,
C,Voting_svc_lr,100000,19.93,0.978,0.977362,0.97799,ablation_ngram,,ngrams,,,,,,1.0,3.0,"(1, 4)",,,,,,,,,,,,,,
C,Voting_svc_lr,100000,21.54,0.978,0.977347,0.978008,ablation_ngram,,ngrams,,,,,,1.0,4.0,"(1, 4)",,,,,,,,,,,,,,
C,Voting_svc_lr,100000,24.61,0.974,0.972747,0.974034,ablation_ngram,,ngrams,,,,,,1.0,5.0,"(1, 4)",,,,,,,,,,,,,,
C,Voting_svc_lr,100000,19.64,0.963,0.964189,0.963327,ablation_ngram,,ngrams,,,,,,2.0,2.0,"(1, 4)",,,,,,,,,,,,,,
C,Voting_svc_lr,100000,19.11,0.941,0.942548,0.941985,ablation_ngram,,ngrams,,,,,,2.0,3.0,"(1, 4)",,,,,,,,,,,,,,
A,LinearSVC_C19,70000,14.86,0.981,0.980677,0.981016,ablation_preprocessing,,preprocessing,,,,,,,,,A_default,,,,,,,,,,,,,
A,LinearSVC_C19,70000,14.71,0.985,0.984828,0.985006,ablation_preprocessing,,preprocessing,,,,,,,,,A_keep_hashtags,True,,,,,,,,,,,,
A,LinearSVC_C19,70000,14.07,0.985,0.98479,0.985005,ablation_preprocessing,,preprocessing,,,,,,,,,A_keep_punct,,True,,,,,,,,,,,
A,LinearSVC_C19,70000,12.85,0.985,0.984847,0.985023,ablation_preprocessing,,preprocessing,,,,,,,,,A_keep_digits,,,True,,,,,,,,,,
A,LinearSVC_C19,70000,13.49,0.984,0.984133,0.984,ablation_preprocessing,,preprocessing,,,,,,,,,A_keep_punct_digits,,True,True,,,,,,,,,,
B,LinearSVC_C19,70000,15.16,0.983,0.983279,0.983023,ablation_preprocessing,,preprocessing,,,,,,,,,B_default,,,,,,,,,,,,,
B,LinearSVC_C19,70000,15.43,0.981,0.981239,0.981025,ablation_preprocessing,,preprocessing,,,,,,,,,B_drop_hashtags,,,,True,,,,,,,,,
B,LinearSVC_C19,70000,12.79,0.985,0.985096,0.985016,ablation_preprocessing,,preprocessing,,,,,,,,,B_drop_punct,,,,,True,,,,,,,,
B,LinearSVC_C19,70000,17.53,0.982,0.982122,0.982013,ablation_preprocessing,,preprocessing,,,,,,,,,B_drop_digits,,,,,,True,,,,,,,
C,Voting_svc_lr,100000,18.29,0.978,0.977347,0.978008,ablation_preprocessing,,preprocessing,,,,,,,,,C_default,,,,,,,,,,,,,
C,Voting_svc_lr,100000,22.77,0.981,0.980331,0.981017,ablation_preprocessing,,preprocessing,,,,,,,,,C_keep_stopwords,,,,,,,False,,,,,,
C,Voting_svc_lr,100000,17.2,0.978,0.97686,0.97802,ablation_preprocessing,,preprocessing,,,,,,,,,C_no_lemmatize,,,,,,,,False,,,,,
C,Voting_svc_lr,100000,18.41,0.974,0.972998,0.974044,ablation_preprocessing,,preprocessing,,,,,,,,,C_no_contractions,,,,,,,,,False,,,,
C,Voting_svc_lr,100000,18.41,0.977,0.976186,0.977002,ablation_preprocessing,,preprocessing,,,,,,,,,C_drop_exclam_question,,,,,,,,,,False,,,
C,Voting_svc_lr,100000,18.5,0.975,0.974145,0.975024,ablation_preprocessing,,preprocessing,,,,,,,,,C_remove_hashtag_word,,,,,,,,,,,False,,
A,LinearSVC_C19,70000,14.72,0.981,0.980677,0.981016,ablation_sublinear_tf,,sublinear_tf,,,,,,,,,,,,,,,,,,,,,True,True
A,LinearSVC_C19,70000,14.69,0.981,0.980677,0.981016,ablation_sublinear_tf,,sublinear_tf,,,,,,,,,,,,,,,,,,,,,False,True
B,LinearSVC_C19,70000,15.09,0.983,0.983279,0.983023,ablation_sublinear_tf,,sublinear_tf,,,,,,,,,,,,,,,,,,,,,True,True
B,LinearSVC_C19,70000,12.66,0.984,0.984478,0.984027,ablation_sublinear_tf,,sublinear_tf,,,,,,,,,,,,,,,,,,,,,False,True
C,Voting_svc_lr,100000,18.5,0.978,0.977347,0.978008,ablation_sublinear_tf,,sublinear_tf,,,,,,,,,,,,,,,,,,,,,True,True
C,Voting_svc_lr,100000,18.94,0.978,0.977352,0.978,ablation_sublinear_tf,,sublinear_tf,,,,,,,,,,,,,,,,,,,,,False,True
