layer,model,accuracy,f1,duration
1,ridge_L1,0.615,0.6053874125539328,6.42612099647522
1,rf_L1,0.624,0.618393705651404,1.9984149932861328
2,lr_L2,0.653,0.6488631229920221,5.999223232269287
2,rf_L2,0.631,0.6263809400153705,0.7991957664489746
2,voting_L2,0.652,0.6469391812813071,0.13573026657104492
3,rf_L3,0.62,0.6146826030486259,0.7887668609619141
3,bag_nb_L3,0.626,0.6080295480148916,3.0006186962127686
3,voting_L3,0.629,0.6215021478446198,0.07274913787841797
