layer,model,accuracy,f1,duration
1,ridge_L1,0.485,0.45530357361911383,0.024501323699951172
1,rf_L1,0.42,0.3958890848635416,0.13179326057434082
1,nb_L1,0.495,0.4754721464583849,0.0032460689544677734
1,svc_L1,0.475,0.439484012198305,0.056011199951171875
1,et_L1,0.46,0.43920228542524087,0.27574849128723145
1,voting_L1,0.52,0.4893918540447684,0.08323192596435547
2,lr_L2,0.48,0.45966122164906237,0.03315305709838867
2,rf_L2,0.435,0.40612054697614824,0.10779905319213867
2,voting_L2,0.5,0.478139161685141,0.01379084587097168
