layer,model,accuracy,f1,precision,recall,auc,duration
1,ridge_L1,0.93,0.9286623241469426,0.9342934032465625,0.93,0.9913653589303763,2.3096964359283447
1,rf_L1,0.963,0.9630239952488232,0.963341246154248,0.963,0.9980108590510683,109.380686044693
1,nb_L1,0.936,0.9361588766720362,0.9373112173256846,0.936,0.995560427017022,0.016191720962524414
1,svc_L1,0.806,0.7729248423540257,0.8384419015543908,0.806,0.9818369344641432,4.701398849487305
1,et_L1,0.968,0.9680262206297134,0.968185182793372,0.968,0.9984546102320662,145.68315386772156
2,vote_prev_L2,0.976,0.9760687638825946,0.9763896493798886,0.976,0.9988432075290962,0.042806148529052734
2,bag_prev_L2,0.978,0.9780455194837313,0.978289978006763,0.978,0.9988302900200019,0.036897897720336914
2,stack_prev_L2,0.968,0.9680178445161987,0.9680813455295945,0.968,0.9985059930074789,6.30905556678772
3,bag_prev_L3,0.972,0.9720302864097234,0.9721302461410096,0.972,0.998834411395972,0.04816627502441406
3,vote_prev_L3,0.972,0.9720302864097234,0.9721302461410096,0.972,0.9988523822099317,0.017206192016601562
4,bag_prev_L4,0.972,0.9720302864097234,0.9721302461410096,0.972,0.9988499614984842,0.044997215270996094
4,stack_prev_L4,0.97,0.9700231355214898,0.970091983827467,0.97,0.9984917434379289,7.2730560302734375
4,vote_prev_L4,0.972,0.9720302864097234,0.9721302461410096,0.972,0.9988420395166436,0.04482626914978027
5,vote_prev_L5,0.971,0.9710284127601099,0.9711300823105946,0.971,0.9988336265844557,0.041939735412597656
5,stack_prev_L5,0.973,0.9730536357042786,0.9732759265082859,0.973,0.9985609548474447,0.607785701751709
5,bag_prev_L5,0.971,0.9710284127601099,0.9711300823105946,0.971,0.9988412082785249,0.04824995994567871
