layer,model,accuracy,f1,precision,recall,auc,duration
1,ridge_L1,0.955,0.9546429196483323,0.9565335121076693,0.955,0.9924409495504524,7.14371657371521
1,rf_L1,0.966,0.9660470659108334,0.9664339117530028,0.966,0.9977630967756437,155.08075523376465
1,nb_L1,0.95,0.9501931191811609,0.951231778028679,0.95,0.9973744449698082,0.09771132469177246
1,et_L1,0.972,0.9720127761055535,0.9721375795793071,0.972,0.9985923699937194,70.68954133987427
1,svc_L1,0.797,0.7530454075521416,0.8347935530785299,0.797,0.9798596481534196,6.507165193557739
1,lr_L1,0.976,0.9760234112009426,0.9760974808424716,0.976,0.9986205030186595,10.052857637405396
2,stack_prev_L2,0.981,0.9810084798214991,0.9810937684792023,0.981,0.9991359740455457,1.3411061763763428
2,bag_prev_L2,0.978,0.9780114422127242,0.9781543563414975,0.978,0.9991558504836068,0.023858070373535156
2,vote_prev_L2,0.978,0.9780221447301075,0.9781931874106733,0.978,0.9991402642092755,0.01807260513305664
3,stack_prev_L3,0.978,0.9780092169237816,0.9781462603446496,0.978,0.9990789779601027,3.6448681354522705
3,vote_prev_L3,0.982,0.9820113115824514,0.9821363876175311,0.982,0.9992585353077926,0.041469573974609375
3,bag_prev_L3,0.981,0.9810085268387819,0.981152463417558,0.981,0.9992285593243077,0.04022645950317383
4,stack_prev_L4,0.981,0.9809993352772621,0.9810547515024064,0.981,0.9990418953566162,9.650498390197754
4,bag_prev_L4,0.979,0.9790065676019098,0.9791120098992799,0.979,0.999253100227308,0.07453036308288574
4,vote_prev_L4,0.979,0.9790065676019098,0.9791120098992799,0.979,0.9992505041194647,0.04211068153381348
5,bag_prev_L5,0.981,0.9810100031832802,0.981108844530466,0.981,0.9992367971973265,0.05655479431152344
5,stack_prev_L5,0.979,0.9790065676019098,0.9791120098992799,0.979,0.999091452474183,8.57088589668274
5,vote_prev_L5,0.981,0.9810100031832802,0.981108844530466,0.981,0.9992406007526421,0.02081918716430664
6,stack_prev_L6,0.976,0.9760333291922946,0.9761634295808692,0.976,0.9986702497422475,2.038689374923706
6,bag_prev_L6,0.979,0.9790065676019098,0.9791120098992799,0.979,0.999229014126307,0.05847978591918945
6,vote_prev_L6,0.979,0.9790065676019098,0.9791120098992799,0.979,0.9992265831918358,0.03905463218688965
7,stack_prev_L7,0.981,0.9809988788364649,0.9810341031517503,0.981,0.9991129273290332,1.742677927017212
7,bag_prev_L7,0.982,0.9819994806365014,0.982062059028662,0.982,0.999192174756605,0.05113053321838379
7,vote_prev_L7,0.982,0.9819994806365014,0.982062059028662,0.982,0.999192174756605,0.043367862701416016
8,stack_prev_L8,0.978,0.9780128474726012,0.9781030302661327,0.978,0.9983718171604343,1.271658182144165
8,bag_prev_L8,0.981,0.9809988788364649,0.9810341031517503,0.981,0.9991858363128411,0.049809932708740234
8,vote_prev_L8,0.981,0.9809988788364649,0.9810341031517503,0.981,0.9991858363128411,0.03336644172668457
9,bag_prev_L9,0.98,0.9800084004087679,0.9800797904076032,0.98,0.9991516039567482,0.04477500915527344
9,vote_prev_L9,0.98,0.9800084004087679,0.9800797904076032,0.98,0.9991440844468118,0.03994584083557129
9,stack_prev_L9,0.978,0.9780039997585058,0.978040730827772,0.978,0.9978872044299185,1.1603686809539795
10,stack_prev_L10,0.978,0.9780128474726012,0.9781030302661327,0.978,0.9981972215801773,1.241806983947754
10,bag_prev_L10,0.978,0.9780039997585058,0.978040730827772,0.978,0.9991342235325753,0.034319400787353516
10,vote_prev_L10,0.979,0.9790060161463593,0.9790483139409609,0.979,0.9991285202024899,0.03332328796386719
11,bag_prev_L11,0.98,0.9800084004087679,0.9800797904076032,0.98,0.9991294600513438,0.04685235023498535
11,stack_prev_L11,0.978,0.9780039997585058,0.978040730827772,0.978,0.9980818327358417,6.9219114780426025
11,vote_prev_L11,0.982,0.9819994806365014,0.982062059028662,0.982,0.9991217496694776,0.03481864929199219
12,bag_prev_L12,0.979,0.9790060161463593,0.9790483139409609,0.979,0.999114586887585,0.04133009910583496
12,vote_prev_L12,0.978,0.9780039997585058,0.978040730827772,0.978,0.9991109021660288,0.04007744789123535
12,stack_prev_L12,0.978,0.9780173201810344,0.9780975217865445,0.978,0.998732375710263,9.294682264328003
