layer,model,accuracy,f1,precision,recall,auc,duration
1,ridge_L1,0.75,0.7476169052319432,0.7587655425530425,0.75,0.9150680497368326,1.9048206806182861
1,rf_L1,0.786,0.7843598405724229,0.7997389499492185,0.786,0.9408822635407236,11.289932250976562
2,bag_svc_L2,0.799,0.7980947631980047,0.8027833305208231,0.799,0.9462213097355725,2.3024656772613525
2,bag_nb_L2,0.769,0.7633801543965605,0.7991050001987651,0.769,0.9425461906765656,0.14713549613952637
2,ridge_L2,0.797,0.7961146559100207,0.80080793159308,0.797,0.9460402657109448,2.182765007019043
2,rf_L2,0.786,0.7849204207128605,0.7909575429698723,0.786,0.9354784432384938,1.3009662628173828
2,voting_L2,0.798,0.796695976169575,0.8046761581092984,0.798,0.9455830687586315,3.5127618312835693
3,rf_L3,0.792,0.7910012161349196,0.7958026674969482,0.792,0.9366766300745003,3.8003275394439697
3,ridge_L3,0.8,0.7989844676601474,0.8041795526966998,0.8,0.9469126302919971,2.266383409500122
3,voting_L3,0.805,0.8039910165674291,0.8079948683333066,0.805,0.9433476580198953,0.14889788627624512
4,lr_L4,0.805,0.8039808544840485,0.8077663939495936,0.805,0.9421537214213592,2.8981595039367676
4,rf_L4,0.789,0.7877297109644107,0.7949919696452471,0.789,0.9410268981167575,2.43674635887146
4,voting_L4,0.802,0.8008404302637692,0.8069836552535705,0.802,0.9438364638179292,0.061354875564575195
5,ridge_L5,0.801,0.7998815217673313,0.8059364780121423,0.801,0.9429893771603002,0.936539888381958
5,lr_L5,0.803,0.8018459321273149,0.8085990409267392,0.803,0.9408959775679706,0.9333181381225586
5,bag_lr_L5,0.802,0.8008593292633693,0.8077326377843348,0.802,0.9406507567154647,2.3921356201171875
5,voting_L5,0.802,0.8008740023027535,0.8076536484352715,0.802,0.9413969921614032,0.03297877311706543
6,lr_L6,0.803,0.8018459321273149,0.8085990409267392,0.803,0.937663452515058,2.0758166313171387
6,rf_L6,0.786,0.785082786783558,0.790638579144431,0.786,0.9263532678529168,0.3611183166503906
6,voting_L6,0.801,0.799832379543556,0.8054976659605031,0.801,0.9356713075801897,0.040730953216552734
