pipeline,model,n_features,fit_time_s,accuracy,f1_macro,f1_weighted,tag,stage
C,LinearSVC_C0.5,100000,5.4,0.978,0.978239,0.978048,ablation_model,model_c
C,LinearSVC_C0.5_noweight,100000,5.34,0.978,0.977932,0.978022,ablation_model,model_c
C,LinearSVC_C19,100000,18.85,0.975,0.974058,0.975018,ablation_model,model_c
C,LogReg_C10_balanced,100000,15.64,0.978,0.977334,0.978015,ablation_model,model_c
C,LogReg_C10,100000,16.69,0.975,0.974647,0.975028,ablation_model,model_c
C,Voting_hard,100000,17.13,0.978,0.977347,0.978008,ablation_model,model_c
C,Voting_soft,100000,18.36,0.976,0.975841,0.976017,ablation_model,model_c
C,Voting_hard_noweight,100000,18.24,0.978,0.977936,0.978012,ablation_model,model_c
