pipeline,model,n_features,fit_time_s,accuracy,f1_macro,f1_weighted,tag,cleaner,stage,ngram_lo,ngram_hi,default_ngram,max_features,default_max_features,min_df,default_min_df,sublinear_tf,default_sublinear_tf,cleaner_label,keep_hashtags,keep_punct,keep_digits,drop_hashtags,drop_punct,drop_digits,remove_stopwords,lemmatize,expand_contractions,keep_question_mark,keep_hashtag_word,vectorizer_owner,cv_f1_mean,cv_f1_std,train_f1,val_f1,overfit_gap,shift_gap
B,LinearSVC_C19,50000.0,10.85,0.98,0.979511,0.980027,ablation_max_features,,max_features,,,,50000.0,70000.0,,,,,,,,,,,,,,,,,,,,,,,
B,LinearSVC_C19,70000.0,13.36,0.983,0.983279,0.983023,ablation_max_features,,max_features,,,,70000.0,70000.0,,,,,,,,,,,,,,,,,,,,,,,
B,LinearSVC_C19,100000.0,27.54,0.985,0.985114,0.985029,ablation_max_features,,max_features,,,,100000.0,70000.0,,,,,,,,,,,,,,,,,,,,,,,
B,LinearSVC_C19,150000.0,32.79,0.985,0.98479,0.985005,ablation_max_features,,max_features,,,,150000.0,70000.0,,,,,,,,,,,,,,,,,,,,,,,
B,LinearSVC_C19,168350.0,29.78,0.986,0.985708,0.986015,ablation_max_features,,max_features,,,,200000.0,70000.0,,,,,,,,,,,,,,,,,,,,,,,
C,Voting_svc_lr,10000.0,10.68,0.896,0.892616,0.896601,ablation_max_features,,max_features,,,,10000.0,100000.0,,,,,,,,,,,,,,,,,,,,,,,
C,Voting_svc_lr,25000.0,12.18,0.954,0.951858,0.95412,ablation_max_features,,max_features,,,,25000.0,100000.0,,,,,,,,,,,,,,,,,,,,,,,
C,Voting_svc_lr,50000.0,12.78,0.97,0.968232,0.970023,ablation_max_features,,max_features,,,,50000.0,100000.0,,,,,,,,,,,,,,,,,,,,,,,
C,Voting_svc_lr,70000.0,16.31,0.974,0.972965,0.974028,ablation_max_features,,max_features,,,,70000.0,100000.0,,,,,,,,,,,,,,,,,,,,,,,
C,Voting_svc_lr,100000.0,17.01,0.978,0.977347,0.978008,ablation_max_features,,max_features,,,,100000.0,100000.0,,,,,,,,,,,,,,,,,,,,,,,
C,Voting_svc_lr,150000.0,22.82,0.979,0.978262,0.979001,ablation_max_features,,max_features,,,,150000.0,100000.0,,,,,,,,,,,,,,,,,,,,,,,
C,Voting_svc_lr,200000.0,26.6,0.982,0.981488,0.981997,ablation_max_features,,max_features,,,,200000.0,100000.0,,,,,,,,,,,,,,,,,,,,,,,
A,LinearSVC_C19,70000.0,11.79,0.981,0.980677,0.981016,ablation_min_df,,min_df,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
A,LinearSVC_C19,70000.0,12.94,0.981,0.980677,0.981016,ablation_min_df,,min_df,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
A,LinearSVC_C19,70000.0,11.39,0.981,0.980677,0.981016,ablation_min_df,,min_df,,,,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,
A,LinearSVC_C19,70000.0,12.13,0.981,0.980677,0.981016,ablation_min_df,,min_df,,,,,,5.0,2.0,,,,,,,,,,,,,,,,,,,,,
B,LinearSVC_C19,70000.0,12.58,0.986,0.986253,0.986009,ablation_min_df,,min_df,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
B,LinearSVC_C19,70000.0,13.34,0.983,0.983279,0.983023,ablation_min_df,,min_df,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
B,LinearSVC_C19,70000.0,13.26,0.983,0.983594,0.983034,ablation_min_df,,min_df,,,,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,
B,LinearSVC_C19,70000.0,15.2,0.986,0.985982,0.986004,ablation_min_df,,min_df,,,,,,5.0,2.0,,,,,,,,,,,,,,,,,,,,,
C,Voting_svc_lr,100000.0,17.32,0.978,0.977371,0.978006,ablation_min_df,,min_df,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
C,Voting_svc_lr,100000.0,17.18,0.978,0.977347,0.978008,ablation_min_df,,min_df,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
C,Voting_svc_lr,100000.0,18.0,0.978,0.977381,0.977997,ablation_min_df,,min_df,,,,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,
C,Voting_svc_lr,76679.0,14.43,0.972,0.970675,0.972052,ablation_min_df,,min_df,,,,,,5.0,2.0,,,,,,,,,,,,,,,,,,,,,
A,LinearSVC_C19,70000.0,12.94,0.981,0.980677,0.981016,ablation_sublinear_tf,,sublinear_tf,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,
A,LinearSVC_C19,70000.0,12.67,0.981,0.980677,0.981016,ablation_sublinear_tf,,sublinear_tf,,,,,,,,False,True,,,,,,,,,,,,,,,,,,,
B,LinearSVC_C19,70000.0,13.18,0.983,0.983279,0.983023,ablation_sublinear_tf,,sublinear_tf,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,
B,LinearSVC_C19,70000.0,11.17,0.984,0.984478,0.984027,ablation_sublinear_tf,,sublinear_tf,,,,,,,,False,True,,,,,,,,,,,,,,,,,,,
C,Voting_svc_lr,100000.0,17.25,0.978,0.977347,0.978008,ablation_sublinear_tf,,sublinear_tf,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,
C,Voting_svc_lr,100000.0,18.23,0.978,0.977352,0.978,ablation_sublinear_tf,,sublinear_tf,,,,,,,,False,True,,,,,,,,,,,,,,,,,,,
A,LinearSVC_C19,70000.0,12.86,0.981,0.980677,0.981016,ablation_preprocessing,,preprocessing,,,,,,,,,,A_default,,,,,,,,,,,,,,,,,,
A,LinearSVC_C19,70000.0,13.45,0.985,0.984828,0.985006,ablation_preprocessing,,preprocessing,,,,,,,,,,A_keep_hashtags,True,,,,,,,,,,,,,,,,,
A,LinearSVC_C19,70000.0,12.06,0.985,0.98479,0.985005,ablation_preprocessing,,preprocessing,,,,,,,,,,A_keep_punct,,True,,,,,,,,,,,,,,,,
A,LinearSVC_C19,70000.0,10.86,0.985,0.984847,0.985023,ablation_preprocessing,,preprocessing,,,,,,,,,,A_keep_digits,,,True,,,,,,,,,,,,,,,
A,LinearSVC_C19,70000.0,11.57,0.984,0.984133,0.984,ablation_preprocessing,,preprocessing,,,,,,,,,,A_keep_punct_digits,,True,True,,,,,,,,,,,,,,,
B,LinearSVC_C19,70000.0,13.18,0.983,0.983279,0.983023,ablation_preprocessing,,preprocessing,,,,,,,,,,B_default,,,,,,,,,,,,,,,,,,
B,LinearSVC_C19,70000.0,13.15,0.981,0.981239,0.981025,ablation_preprocessing,,preprocessing,,,,,,,,,,B_drop_hashtags,,,,True,,,,,,,,,,,,,,
B,LinearSVC_C19,70000.0,11.04,0.985,0.985096,0.985016,ablation_preprocessing,,preprocessing,,,,,,,,,,B_drop_punct,,,,,True,,,,,,,,,,,,,
B,LinearSVC_C19,70000.0,15.0,0.982,0.982122,0.982013,ablation_preprocessing,,preprocessing,,,,,,,,,,B_drop_digits,,,,,,True,,,,,,,,,,,,
C,Voting_svc_lr,100000.0,17.08,0.978,0.977347,0.978008,ablation_preprocessing,,preprocessing,,,,,,,,,,C_default,,,,,,,,,,,,,,,,,,
C,Voting_svc_lr,100000.0,20.75,0.981,0.980331,0.981017,ablation_preprocessing,,preprocessing,,,,,,,,,,C_keep_stopwords,,,,,,,False,,,,,,,,,,,
C,Voting_svc_lr,100000.0,15.79,0.978,0.97686,0.97802,ablation_preprocessing,,preprocessing,,,,,,,,,,C_no_lemmatize,,,,,,,,False,,,,,,,,,,
C,Voting_svc_lr,100000.0,17.14,0.974,0.972998,0.974044,ablation_preprocessing,,preprocessing,,,,,,,,,,C_no_contractions,,,,,,,,,False,,,,,,,,,
C,Voting_svc_lr,100000.0,17.26,0.977,0.976186,0.977002,ablation_preprocessing,,preprocessing,,,,,,,,,,C_drop_exclam_question,,,,,,,,,,False,,,,,,,,
C,Voting_svc_lr,100000.0,17.08,0.975,0.974145,0.975024,ablation_preprocessing,,preprocessing,,,,,,,,,,C_remove_hashtag_word,,,,,,,,,,,False,,,,,,,
C,LinearSVC_C0.5,100000.0,5.4,0.978,0.978239,0.978048,ablation_model,,model_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,
